a=000, b=000, c=00000
a=000, b=001, c=00000
a=000, b=010, c=00000
a=000, b=011, c=00000
a=000, b=100, c=10000
a=000, b=101, c=10000
a=000, b=110, c=10000
a=000, b=111, c=10000
a=001, b=000, c=00000
a=001, b=001, c=00001
a=001, b=010, c=00010
a=001, b=011, c=00011
a=001, b=100, c=10000
a=001, b=101, c=10001
a=001, b=110, c=10010
a=001, b=111, c=10011
a=010, b=000, c=00000
a=010, b=001, c=00010
a=010, b=010, c=00100
a=010, b=011, c=00110
a=010, b=100, c=10000
a=010, b=101, c=10010
a=010, b=110, c=10100
a=010, b=111, c=10110
a=011, b=000, c=00000
a=011, b=001, c=00011
a=011, b=010, c=00110
a=011, b=011, c=01001
a=011, b=100, c=10000
a=011, b=101, c=10011
a=011, b=110, c=10110
a=011, b=111, c=11001
a=100, b=000, c=10000
a=100, b=001, c=10000
a=100, b=010, c=10000
a=100, b=011, c=10000
a=100, b=100, c=00000
a=100, b=101, c=00000
a=100, b=110, c=00000
a=100, b=111, c=00000
a=101, b=000, c=10000
a=101, b=001, c=10001
a=101, b=010, c=10010
a=101, b=011, c=10011
a=101, b=100, c=00000
a=101, b=101, c=00001
a=101, b=110, c=00010
a=101, b=111, c=00011
a=110, b=000, c=10000
a=110, b=001, c=10010
a=110, b=010, c=10100
a=110, b=011, c=10110
a=110, b=100, c=00000
a=110, b=101, c=00010
a=110, b=110, c=00100
a=110, b=111, c=00110
a=111, b=000, c=10000
a=111, b=001, c=10011
a=111, b=010, c=10110
a=111, b=011, c=11001
a=111, b=100, c=00000
a=111, b=101, c=00011
a=111, b=110, c=00110
a=111, b=111, c=01001
