a=000, b=000, r=000, dzf=1
a=000, b=001, r=000, dzf=0
a=000, b=010, r=000, dzf=0
a=000, b=011, r=000, dzf=0
a=000, b=100, r=000, dzf=1
a=000, b=101, r=000, dzf=0
a=000, b=110, r=000, dzf=0
a=000, b=111, r=000, dzf=0
a=001, b=000, r=000, dzf=1
a=001, b=001, r=000, dzf=0
a=001, b=010, r=001, dzf=0
a=001, b=011, r=001, dzf=0
a=001, b=100, r=000, dzf=1
a=001, b=101, r=000, dzf=0
a=001, b=110, r=001, dzf=0
a=001, b=111, r=001, dzf=0
a=010, b=000, r=000, dzf=1
a=010, b=001, r=000, dzf=0
a=010, b=010, r=000, dzf=0
a=010, b=011, r=010, dzf=0
a=010, b=100, r=000, dzf=1
a=010, b=101, r=000, dzf=0
a=010, b=110, r=000, dzf=0
a=010, b=111, r=010, dzf=0
a=011, b=000, r=000, dzf=1
a=011, b=001, r=000, dzf=0
a=011, b=010, r=001, dzf=0
a=011, b=011, r=000, dzf=0
a=011, b=100, r=000, dzf=1
a=011, b=101, r=000, dzf=0
a=011, b=110, r=001, dzf=0
a=011, b=111, r=000, dzf=0
a=100, b=000, r=100, dzf=1
a=100, b=001, r=100, dzf=0
a=100, b=010, r=100, dzf=0
a=100, b=011, r=100, dzf=0
a=100, b=100, r=100, dzf=1
a=100, b=101, r=100, dzf=0
a=100, b=110, r=100, dzf=0
a=100, b=111, r=100, dzf=0
a=101, b=000, r=100, dzf=1
a=101, b=001, r=100, dzf=0
a=101, b=010, r=101, dzf=0
a=101, b=011, r=101, dzf=0
a=101, b=100, r=100, dzf=1
a=101, b=101, r=100, dzf=0
a=101, b=110, r=101, dzf=0
a=101, b=111, r=101, dzf=0
a=110, b=000, r=100, dzf=1
a=110, b=001, r=100, dzf=0
a=110, b=010, r=100, dzf=0
a=110, b=011, r=110, dzf=0
a=110, b=100, r=100, dzf=1
a=110, b=101, r=100, dzf=0
a=110, b=110, r=100, dzf=0
a=110, b=111, r=110, dzf=0
a=111, b=000, r=100, dzf=1
a=111, b=001, r=100, dzf=0
a=111, b=010, r=101, dzf=0
a=111, b=011, r=100, dzf=0
a=111, b=100, r=100, dzf=1
a=111, b=101, r=100, dzf=0
a=111, b=110, r=101, dzf=0
a=111, b=111, r=100, dzf=0
