k=1, a=000, b=000, sum=0000
k=1, a=000, b=001, sum=1001
k=1, a=000, b=010, sum=1010
k=1, a=000, b=011, sum=1011
k=1, a=000, b=100, sum=0010
k=1, a=000, b=101, sum=0001
k=1, a=000, b=110, sum=0010
k=1, a=000, b=111, sum=0011
k=1, a=001, b=000, sum=0001
k=1, a=001, b=001, sum=0000
k=1, a=001, b=010, sum=1001
k=1, a=001, b=011, sum=1010
k=1, a=001, b=100, sum=0011
k=1, a=001, b=101, sum=0010
k=1, a=001, b=110, sum=0011
k=1, a=001, b=111, sum=0100
k=1, a=010, b=000, sum=0010
k=1, a=010, b=001, sum=0001
k=1, a=010, b=010, sum=0000
k=1, a=010, b=011, sum=1001
k=1, a=010, b=100, sum=0100
k=1, a=010, b=101, sum=0011
k=1, a=010, b=110, sum=0100
k=1, a=010, b=111, sum=0101
k=1, a=011, b=000, sum=0011
k=1, a=011, b=001, sum=0010
k=1, a=011, b=010, sum=0001
k=1, a=011, b=011, sum=0000
k=1, a=011, b=100, sum=0101
k=1, a=011, b=101, sum=0100
k=1, a=011, b=110, sum=0101
k=1, a=011, b=111, sum=0110
k=1, a=100, b=000, sum=1010
k=1, a=100, b=001, sum=1011
k=1, a=100, b=010, sum=1100
k=1, a=100, b=011, sum=1101
k=1, a=100, b=100, sum=0000
k=1, a=100, b=101, sum=1001
k=1, a=100, b=110, sum=0000
k=1, a=100, b=111, sum=0001
k=1, a=101, b=000, sum=1001
k=1, a=101, b=001, sum=1010
k=1, a=101, b=010, sum=1011
k=1, a=101, b=011, sum=1100
k=1, a=101, b=100, sum=0001
k=1, a=101, b=101, sum=0000
k=1, a=101, b=110, sum=0001
k=1, a=101, b=111, sum=0010
k=1, a=110, b=000, sum=1010
k=1, a=110, b=001, sum=1011
k=1, a=110, b=010, sum=1100
k=1, a=110, b=011, sum=1101
k=1, a=110, b=100, sum=0000
k=1, a=110, b=101, sum=1001
k=1, a=110, b=110, sum=0000
k=1, a=110, b=111, sum=0001
k=1, a=111, b=000, sum=1011
k=1, a=111, b=001, sum=1100
k=1, a=111, b=010, sum=1101
k=1, a=111, b=011, sum=1110
k=1, a=111, b=100, sum=1001
k=1, a=111, b=101, sum=1010
k=1, a=111, b=110, sum=1001
k=1, a=111, b=111, sum=0000
